"Section SIS ID","SIS ID"
"18052","25189"
"18052","25297"
"18052","25363"
"18052","26222"
"18052","26255"
"18052","30703"
"18052","30988"
"18052","31125"
"18052","31290"
"18052","31481"
"18052","31586"
"18052","31652"
"18052","31759"
"18053","11192"
"18053","13891"
"18053","13948"
"18053","14051"
"18053","14062"
"18053","14077"
"18053","14290"
"18053","14304"
"18053","14525"
"18053","14557"
"18053","14900"
"18053","15115"
"18053","15312"
"18053","15810"
"18053","18428"
"18053","18444"
"18053","18593"
"18053","18612"
"18053","18628"
"18053","18665"
"18053","18710"
"18053","18720"
"18053","18732"
"18053","18764"
"18053","18790"
"18053","18912"
"18053","18944"
"18053","18978"
"18053","19037"
"18053","19070"
"18053","19088"
"18053","19264"
"18053","19286"
"18053","19310"
