"SIS ID","course_id","Section Name","Term StartDate","Term EndDate","created_at","restrict_enrollments_to_section_dates","nonxlist_course_id","sis_section_id","sis_course_id","integration_id","sis_import_id","School SIS ID"
"18281","20994","PRACTICUM IN HUMANITIES AND ARTS","","","2020-05-18T16:22:36Z","","","","HU3910-A20-A01","","","1"
"18282","20996","PRACTICUM IN HUMANITIES AND ARTS","","","2020-05-18T16:22:37Z","","","","HU3910-A20-A02","","","1"
"18262","20997","Finance & Technology (FinTech)","","","2020-05-18T16:22:28Z","","","","FIN3300-A20-A01","","","1"
"20787","20998","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-18T18:18:46Z","","","","ID2050-A20-A01","","","1"
"18272","20999","INTRODUCTION TO THE HISTORY OF SCIENCE AND TECHNOLOGY","","","2020-05-18T16:22:33Z","","","","HI1330-A20-A01","","","1"
"18286","21000","3D MODELING I","","","2020-05-18T16:22:38Z","","","","IMGD2101-A20-A02","","","1"
"18283","21002","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-05-18T16:22:37Z","","","","ID2050-A20-A02","","","1"
"18275","21003","INTRODUCTION TO THE HISTORY OF SCIENCE AND TECHNOLOGY","","","2020-05-18T16:22:34Z","","","","HI1330-A20-A02","","","1"
"20617","21004","THE GREAT PROBLEMS SEMINARS","","","2020-06-01T12:16:42Z","","","","FY1100-A20-A01","","","1"
"20788","21005","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-18T18:18:48Z","","","","ID2050-A20-A03","","","1"
"18288","21006","2D ANIMATION I","","","2020-05-18T16:22:39Z","","","","IMGD2222-A20-A01","","","1"
"18278","21007","INTRODUCTION TO ENVIRONMENTAL HISTORY","","","2020-05-18T16:22:35Z","","","","HI1350-A20-A01","","","1"
"20618","21008","THE GREAT PROBLEMS SEMINARS","","","2020-06-01T12:16:42Z","","","","FY1100-A20-A02","","","1"
"18291","21009","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-05-18T16:22:40Z","","","","ID2050-A20-A04","","","1"
"18290","21010","3D ANIMATION I","","","2020-05-18T16:22:40Z","","","","IMGD2333-A20-A01","","","1"
"18271","21011","AMERICAN COLONIAL HISTORY","","","2020-05-18T16:22:32Z","","","","HI2311-A20-A01","","","1"
"20614","21012","THE GREAT PROBLEMS SEMINARS","","","2020-06-01T12:16:41Z","","","","FY1100-A20-A03","","","1"
"20813","21013","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-23T18:12:34Z","","","","ID2050-A20-A05","","","1"
"18294","21014","WRITING CHARACTERS FOR INTERACTIVE MEDIA & GAMES","","","2020-05-18T16:22:41Z","","","","IMGD2400-A20-A01","","","1"
"20615","21015","THE GREAT PROBLEMS SEMINARS","","","2020-06-01T12:16:41Z","","","","FY1100-A20-A04","","","1"
"18273","21016","TOPICS IN LAW, JUSTICE AND AMERICAN SOCIETY","","","2020-05-18T16:22:34Z","","","","HI2318-A20-A01","","","1"
"20789","21017","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-18T18:18:49Z","","","","ID2050-A20-A06","","","1"
"18299","21018","DIGITAL PAINTING","","","2020-05-18T16:22:42Z","","","","IMGD2700-A20-A01","","","1"
"20671","21019","THE GREAT PROBLEMS SEMINARS","","","2020-06-10T20:14:44Z","","","","FY1100-A20-A05","","","1"
"18279","21020","TOPICS IN ENVIRONMENTAL HISTORY","","","2020-05-18T16:22:36Z","","","","HI2400-A20-A01","","","1"
"18296","21021","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-05-18T16:22:41Z","","","","ID2050-A20-A07","","","1"
"18301","21022","INTERACTIVE ELECTRONIC ARTS","","","2020-05-18T16:22:42Z","","","","IMGD3200-A20-A01","","","1"
"20616","21024","THE GREAT PROBLEMS SEMINARS","","","2020-06-01T12:16:41Z","","","","FY1100-A20-A06","","","1"
"20642","21025","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-03T20:12:42Z","","","","ID2050-A20-A08","","","1"
"18287","21026","ADVANCED STORYTELLING: QUEST LOGIC AND LEVEL DESIGN","","","2020-05-18T16:22:39Z","","","","IMGD4700-A20-A01","","","1"
"20672","21027","DISCOVERING MAJORS AND CAREERS","","","2020-06-10T20:14:44Z","","","","FY1800-A20-A01","","","1"
"20835","21030","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-25T16:23:55Z","","","","ID2050-A20-A09","","","1"
"18285","21031","INTRODUCTION TO ASIA","","","2020-05-18T16:22:38Z","","","","HU1412-A20-A01","","","1"
"18293","21032","INTRODUCTION TO INTERNATIONAL AND GLOBAL STUDIES","","","2020-05-18T16:22:40Z","","","","INTL1100-A20-A01","","","1"
"20708","21033","DISCOVERING MAJORS AND CAREERS","","","2020-06-10T22:12:58Z","","","","FY1800-A20-A02","","","1"
"18302","21034","INTRODUCTION TO LATIN AMERICA","","","2020-05-18T16:22:43Z","","","","INTL1300-A20-A01","","","1"
"20790","21035","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-18T18:18:51Z","","","","ID2050-A20-A10","","","1"
"18304","21038","GLOBAL RE-ENTRY SEMINAR","","","2020-05-18T16:22:46Z","","","","INTL3050-A20-A01","","","1"
"20834","21039","SOCIAL SCIENCE RESEARCH FOR THE IQP","","","2020-06-25T16:23:54Z","","","","ID2050-A20-A12","","","1"
"18305","21040","INTRODUCTION TO ACADEMIC READING AND WRITING FOR NON-NATIVE SPEAKERS OF ENGLISH","","","2020-05-18T16:22:46Z","","","","ISE1800-A20-A01","","","1"
"18310","21043","COMPOSITION FOR NON-NATIVE SPEAKERS OF ENGLISH","","","2020-05-18T16:22:46Z","","","","ISE1801-A20-A01","","","1"
"18289","21044","INQUIRY SEMINAR IN HUMANITIES AND ARTS","","","2020-05-18T16:22:40Z","","","","HU3900-A20-A01","","","1"
"18292","21047","INQUIRY SEMINAR IN HUMANITIES AND ARTS","","","2020-05-18T16:22:40Z","","","","HU3900-A20-A02","","","1"
"18297","21048","SHELTERED ENGLISH IMMERSION ENDORSEMENT COURSE FOR TEACHERS","","","2020-05-18T16:22:41Z","","","","ID3200-A20-A01","","","1"
"18295","21049","INQUIRY SEMINAR IN HUMANITIES AND ARTS","","","2020-05-18T16:22:41Z","","","","HU3900-A20-A03","","","1"
"18298","21051","INQUIRY SEMINAR IN HUMANITIES AND ARTS","","","2020-05-18T16:22:41Z","","","","HU3900-A20-A04","","","1"
"18314","21052","ORAL COMMUNICATION FOR NON-NATIVE SPEAKERS OF ENGLISH","","","2020-05-18T16:22:47Z","","","","ISE1803-A20-A01","","","1"
"18274","21054","INQUIRY SEMINAR IN HUMANITIES AND ARTS","","","2020-05-18T16:22:34Z","","","","HU3900-A20-A05","","","1"
"21060","21055","CALCULUS I","","","2020-07-16T10:32:26Z","","","","MA1021-A20-A10","","","1"
"18316","21056","INTENSIVE READING FOR NON-NATIVE SPEAKERS","","","2020-05-18T16:22:48Z","","","","ISE2820-A20-A01","","","1"
"18300","21057","CRITICAL STUDIES OF INTERACTIVE MEDIA AND GAMES","","","2020-05-18T16:22:42Z","","","","IMGD1000-A20-A01","","","1"
"18276","21058","THE GAME DEVELOPMENT PROCESS","","","2020-05-18T16:22:34Z","","","","IMGD1001-A20-A01","","","1"
"19312","21059","CALCULUS I","","","2020-05-26T14:20:07Z","","","","MA1021-A20-AX01","","","1"
"18280","21060","GAME AUDIO I","","","2020-05-18T16:22:36Z","","","","IMGD2030-A20-A01","","","1"
"18323","21061","CALCULUS I","","","2020-05-18T16:22:50Z","","","","MA1021-A20-AX02","","","1"
"20679","21062","CALCULUS III","","","2020-06-10T20:14:53Z","","","","MA1023-A20-A05Y","","","1"
"20680","21063","CALCULUS III","","","2020-06-10T20:14:53Z","","","","MA1023-A20-A06Y","","","1"
"20711","21064","CALCULUS III","","","2020-06-10T22:13:13Z","","","","MA1023-A20-A07Y","","","1"
"19288","21065","CALCULUS I","","","2020-05-20T14:33:23Z","","","","MA1021-A20-AX03","","","1"
"18318","21066","CALCULUS I","","","2020-05-18T16:22:48Z","","","","MA1021-A20-A01","","","1"
"18325","21067","CALCULUS I","","","2020-05-18T16:22:50Z","","","","MA1021-A20-AX04","","","1"
"20622","21068","CALCULUS III","","","2020-06-01T16:19:05Z","","","","MA1023-A20-A08Y","","","1"
"18320","21069","CALCULUS I","","","2020-05-18T16:22:49Z","","","","MA1021-A20-A02","","","1"
"19289","21070","CALCULUS I","","","2020-05-20T14:33:23Z","","","","MA1021-A20-AX05","","","1"
"19314","21071","CALCULUS I","","","2020-05-26T14:20:07Z","","","","MA1021-A20-A03","","","1"
"20712","21072","CALCULUS III","","","2020-06-10T22:13:15Z","","","","MA1023-A20-A09Y","","","1"
"19315","21073","CALCULUS I","","","2020-05-26T14:20:07Z","","","","MA1021-A20-A04","","","1"
"18284","21074","3D MODELING I","","","2020-05-18T16:22:38Z","","","","IMGD2101-A20-A01","","","1"
"18327","21075","CALCULUS I","","","2020-05-18T16:22:51Z","","","","MA1021-A20-AX06","","","1"
"18321","21076","CALCULUS I","","","2020-05-18T16:22:50Z","","","","MA1021-A20-A05","","","1"
"18330","21077","CALCULUS I","","","2020-05-18T16:22:51Z","","","","MA1021-A20-AX07","","","1"
"19317","21078","CALCULUS III","","","2020-05-26T14:20:10Z","","","","MA1023-A20-A10Y","","","1"
"19316","21079","CALCULUS I","","","2020-05-26T14:20:08Z","","","","MA1021-A20-A06","","","1"
"19318","21080","CALCULUS III","","","2020-05-26T14:20:10Z","","","","MA1023-A20-A11Y","","","1"
"19287","21081","CALCULUS I","","","2020-05-20T14:33:22Z","","","","MA1021-A20-A07","","","1"
"18331","21082","CALCULUS I","","","2020-05-18T16:22:51Z","","","","MA1021-A20-AX08","","","1"
"18322","21083","CALCULUS I","","","2020-05-18T16:22:50Z","","","","MA1021-A20-A08","","","1"
"18333","21084","CALCULUS I","","","2020-05-18T16:22:52Z","","","","MA1021-A20-AX09","","","1"
"20681","21085","CALCULUS III","","","2020-06-10T20:14:53Z","","","","MA1023-A20-A12Y","","","1"
"19311","21086","CALCULUS I","","","2020-05-26T14:20:06Z","","","","MA1021-A20-A09","","","1"
"19327","21087","CALCULUS III","","","2020-05-26T14:20:11Z","","","","MA1023-A20-AX10","","","1"
"19328","21088","CALCULUS III","","","2020-05-26T14:20:11Z","","","","MA1023-A20-AX11","","","1"
"20710","21090","CALCULUS III","","","2020-06-10T22:13:11Z","","","","MA1023-A20-A13Y","","","1"
"20720","21091","CALCULUS III","","","2020-06-10T22:13:25Z","","","","MA1023-A20-AX12","","","1"
"18334","21092","CALCULUS II","","","2020-05-18T16:22:52Z","","","","MA1022-A20-A01","","","1"
